This file was created using the 201909 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199007   ,0.99   ,1.17   ,1.32   ,1.43  ,-0.07   ,2.02   ,1.36   ,1.92   ,0.73   ,1.04   ,2.12   ,2.85   ,2.08   ,3.32   ,2.17   ,2.69   ,2.83   ,2.41   ,2.67   ,3.19   ,1.27  ,-0.32   ,1.57   ,2.37   ,0.45
199008 ,-11.00 ,-12.48  ,-9.57  ,-9.44  ,-9.93 ,-12.18 ,-10.36 ,-11.70 ,-11.14 ,-10.50 ,-14.04 ,-12.09 ,-13.25 ,-11.89 ,-12.40 ,-11.42 ,-11.49 ,-11.67 ,-12.25 ,-12.17  ,-9.16 ,-10.06  ,-9.34  ,-8.99  ,-9.89
199009 ,-10.07  ,-8.04  ,-8.46  ,-7.11  ,-8.13 ,-10.97 ,-10.57  ,-8.87  ,-8.37  ,-9.27 ,-12.15 ,-11.52 ,-11.45 ,-11.83 ,-12.08 ,-12.46 ,-11.35 ,-11.72 ,-13.35 ,-13.39 ,-11.11 ,-11.90 ,-10.32 ,-10.25 ,-12.35
199010  ,-0.46  ,-0.84  ,-0.15  ,-1.66  ,-2.95   ,5.11   ,1.61   ,1.32   ,1.71   ,0.53  ,11.89   ,8.55   ,7.03   ,7.86   ,6.98  ,10.98   ,8.23  ,10.58  ,10.26  ,10.25   ,9.51  ,16.32  ,10.41   ,7.64   ,9.68
199011  ,-1.04  ,-0.10   ,0.48  ,-0.41   ,0.49  ,-2.62  ,-0.79  ,-0.30   ,0.16  ,-0.15  ,-7.36  ,-3.09  ,-2.92  ,-5.53  ,-4.29  ,-5.05  ,-3.62  ,-4.97  ,-5.27  ,-5.73  ,-1.75  ,-4.34  ,-2.06  ,-0.93  ,-4.48
199012  ,-0.34   ,2.11   ,0.61  ,-0.35   ,0.93   ,1.49   ,1.56   ,1.80   ,1.70   ,1.57   ,2.69   ,1.06   ,0.12  ,-0.23   ,0.13  ,-0.21   ,1.27  ,-0.14   ,0.46   ,0.60   ,2.60   ,3.74   ,2.53   ,0.64   ,0.08
199101   ,1.78   ,2.39   ,2.41   ,1.93   ,4.11   ,0.00   ,1.57   ,1.65   ,2.89   ,1.96   ,0.63   ,0.29   ,2.07  ,-0.93   ,0.94   ,0.78   ,1.76   ,0.09   ,1.28   ,2.01   ,4.11   ,3.61   ,3.01   ,2.69   ,4.76
199102  ,11.56  ,10.72   ,9.58  ,10.17  ,10.43  ,13.17  ,12.44  ,11.59   ,9.66  ,11.66  ,13.94  ,12.55  ,13.27  ,13.91  ,12.93  ,13.63  ,11.79  ,12.42  ,13.40  ,12.62   ,9.36   ,7.45   ,8.07   ,9.01  ,10.25
199103   ,4.45   ,2.59   ,2.35   ,1.97   ,2.90   ,1.53  ,-0.31  ,-0.09   ,1.12   ,0.89   ,0.01  ,-0.63  ,-0.91  ,-1.42   ,0.49  ,-0.85  ,-1.52  ,-2.76  ,-1.34  ,-0.55  ,-0.77  ,-2.30  ,-2.34  ,-4.08  ,-3.47
199104  ,-0.16  ,-0.87   ,0.64   ,0.57   ,1.55   ,0.53   ,1.06   ,1.77  ,-0.20   ,1.28   ,0.07  ,-0.21   ,0.16   ,1.59   ,1.20  ,-0.25  ,-0.55   ,0.97   ,1.54   ,1.66   ,0.49   ,1.50   ,1.42   ,1.06   ,0.82
