This file was created using the 201909 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 prior return portfolios in Developed.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199011   ,1.48  ,-0.46  ,-2.04  ,-1.73  ,-0.38   ,0.74  ,-2.37  ,-3.58  ,-4.27  ,-2.72  ,-2.81  ,-3.75  ,-5.94  ,-6.98  ,-5.47  ,-0.58  ,-5.03  ,-2.85  ,-5.83  ,-6.14  ,-6.21  ,-6.05  ,-2.71  ,-1.86   ,0.74
199012  ,-1.44   ,1.27  ,-0.05   ,0.11   ,0.39   ,0.57   ,1.30   ,0.34   ,0.49  ,-0.83   ,0.66   ,0.95   ,0.00  ,-0.16  ,-0.20   ,1.80   ,2.09   ,1.89   ,0.02  ,-3.00   ,6.13   ,3.72   ,1.30   ,0.52  ,-0.46
199101   ,4.36   ,1.45   ,0.35  ,-0.34   ,2.53   ,2.75  ,-0.62  ,-0.07  ,-1.50   ,1.21   ,1.58  ,-1.18   ,0.34   ,0.01   ,0.84   ,4.23   ,0.72  ,-0.13   ,0.38   ,1.24   ,5.44   ,3.87   ,4.11   ,1.97   ,3.51
199102  ,16.94  ,12.07   ,9.90   ,8.59  ,10.42  ,19.22  ,15.11  ,11.16   ,9.94   ,9.55  ,20.80  ,16.78  ,12.69  ,10.93  ,10.42  ,16.72  ,14.49  ,11.48   ,9.60   ,8.84  ,13.65   ,9.76   ,8.81   ,6.12   ,7.27
199103   ,2.33   ,1.43   ,0.47   ,2.24   ,4.84   ,0.03   ,0.71   ,0.92   ,0.71   ,3.86  ,-0.95   ,0.05  ,-1.38  ,-1.20   ,2.51  ,-2.27  ,-1.16  ,-2.07  ,-0.97   ,0.53  ,-2.83  ,-3.67  ,-3.66  ,-2.46  ,-0.53
199104   ,0.26   ,1.37   ,2.48   ,1.06   ,1.59   ,0.90   ,1.41   ,1.44   ,1.42   ,1.34   ,1.25   ,1.51   ,1.74   ,2.87   ,0.45   ,1.03   ,0.27   ,1.27   ,1.17   ,0.19   ,2.26   ,0.59   ,0.97   ,1.26   ,0.45
199105  ,-0.82   ,0.19  ,-0.29   ,1.05   ,2.84  ,-1.11   ,0.64   ,0.26   ,0.06   ,2.44  ,-0.52   ,0.99  ,-0.27   ,0.15   ,1.09   ,0.93  ,-0.33   ,0.56   ,0.27   ,1.28   ,2.26   ,1.21   ,1.82   ,0.77   ,1.62
199106  ,-4.80  ,-3.63  ,-2.80  ,-3.47  ,-4.21  ,-4.36  ,-4.13  ,-3.85  ,-4.21  ,-3.69  ,-4.82  ,-4.93  ,-3.14  ,-4.09  ,-3.97  ,-6.46  ,-5.61  ,-5.19  ,-4.57  ,-4.10  ,-7.20  ,-6.57  ,-6.49  ,-5.25  ,-5.12
199107   ,1.32   ,1.01   ,3.04   ,2.66   ,5.14  ,-0.08   ,1.52   ,0.96   ,2.56   ,3.81   ,1.02   ,2.05   ,1.71   ,1.22   ,4.72   ,1.06   ,2.11   ,1.40   ,3.69   ,4.37   ,2.78   ,2.98   ,3.36   ,5.09   ,6.76
199108  ,-1.20  ,-1.07   ,0.01   ,1.33   ,3.38  ,-3.28  ,-2.67   ,0.04  ,-0.54   ,5.34  ,-4.03  ,-1.91  ,-2.75  ,-1.86   ,1.88  ,-3.48  ,-3.04  ,-2.84  ,-2.93  ,-1.19  ,-0.20  ,-1.59  ,-1.09  ,-0.39   ,0.26
199109   ,2.30   ,3.48   ,3.18   ,3.74   ,6.14   ,3.01   ,4.30   ,4.61   ,5.27   ,6.10   ,3.02   ,5.22   ,5.57   ,4.46   ,5.13   ,3.79   ,4.81   ,4.63   ,6.39   ,5.05   ,2.22   ,2.48   ,3.29   ,2.84   ,3.53
199110  ,-0.08   ,0.79   ,1.45   ,2.58   ,5.13   ,0.49   ,0.70   ,2.30   ,0.18   ,3.08   ,0.53   ,1.17   ,2.31   ,1.78   ,2.29   ,1.11   ,1.34   ,1.50   ,1.87   ,2.32   ,1.17   ,0.69   ,1.46   ,1.51   ,4.52
