This file was created using the 201906 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Global.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011   ,0.13  ,-3.63  ,-3.39  ,-4.90  ,-3.92  ,-1.08
199012   ,0.10   ,0.51  ,-0.10   ,4.75   ,1.53  ,-0.36
199101   ,2.41  ,-0.16   ,0.74   ,4.19   ,3.30   ,2.44
199102  ,18.49  ,11.70  ,10.56  ,13.77   ,8.69   ,6.90
199103   ,0.67  ,-0.05   ,2.68  ,-2.94  ,-2.77  ,-1.10
199104   ,1.08   ,1.63   ,1.58   ,1.27   ,1.09   ,0.70
199105  ,-0.55   ,0.19   ,1.59   ,1.50   ,1.26   ,1.27
199106  ,-4.86  ,-3.55  ,-4.10  ,-6.33  ,-6.32  ,-4.81
199107   ,0.86   ,1.73   ,4.04   ,2.31   ,3.46   ,6.06
199108  ,-2.63  ,-1.13   ,2.85  ,-1.15  ,-1.58   ,0.14
199109   ,3.41   ,4.62   ,5.40   ,2.47   ,3.28   ,3.74
199110   ,0.52   ,1.48   ,2.96   ,0.91   ,1.33   ,3.37
199111  ,-4.70  ,-3.28  ,-3.85  ,-5.47  ,-4.66  ,-4.39
199112   ,1.99   ,3.82   ,6.34   ,5.20   ,7.84   ,7.18
199201   ,0.63   ,1.08   ,3.68  ,-0.47  ,-2.60  ,-2.77
199202   ,0.18  ,-0.01   ,0.73  ,-2.44  ,-2.09  ,-0.63
199203  ,-5.63  ,-3.66  ,-4.49  ,-5.34  ,-5.02  ,-5.12
199204  ,-2.71  ,-2.42  ,-1.39   ,1.61  ,-0.15   ,0.30
199205   ,5.90   ,5.83   ,4.50   ,3.67   ,4.09   ,5.05
199206  ,-5.39  ,-2.51  ,-2.19  ,-5.53  ,-2.52  ,-2.93
199207  ,-4.41  ,-1.99  ,-1.03   ,0.24   ,0.47  ,-1.20
199208   ,1.61   ,0.97  ,-0.78   ,7.02   ,1.63   ,1.97
199209  ,-3.19  ,-0.48  ,-0.32  ,-2.64  ,-0.75  ,-0.34
199210  ,-4.00  ,-3.88  ,-2.06  ,-3.18  ,-2.96  ,-2.21
199211   ,1.51   ,0.43   ,3.36   ,2.26   ,2.00   ,2.06
199212   ,1.90   ,2.49   ,3.26  ,-0.32   ,1.07   ,1.43
199301   ,1.52   ,2.28   ,4.46  ,-0.75   ,0.34   ,1.33
199302   ,1.16   ,2.40   ,1.74   ,0.67   ,2.99   ,2.04
199303   ,8.62   ,6.80   ,7.17   ,5.57   ,6.91   ,7.84
199304   ,6.23   ,6.34   ,4.23   ,3.93   ,3.83   ,5.50
199305   ,7.45   ,6.69   ,6.28   ,2.48   ,1.89   ,4.74
199306  ,-3.61  ,-2.82  ,-0.50  ,-3.31  ,-1.60  ,-0.93
199307   ,0.80   ,1.16   ,1.93   ,1.19   ,2.23   ,4.47
199308   ,5.54   ,5.16   ,5.51   ,4.21   ,4.45   ,4.90
199309  ,-0.17  ,-0.10   ,0.41  ,-2.41  ,-1.56  ,-2.08
199310   ,1.16   ,0.09   ,1.66   ,2.01   ,1.23   ,0.95
199311  ,-3.65  ,-5.35  ,-6.97  ,-2.57  ,-6.81  ,-8.84
199312   ,3.62   ,4.34   ,5.59   ,3.32   ,4.50   ,4.91
199401   ,9.47   ,9.35   ,9.73   ,6.34   ,6.30  ,10.08
199402   ,0.70   ,1.02   ,0.85  ,-1.67  ,-1.51  ,-0.17
199403  ,-1.57  ,-1.92  ,-3.51  ,-2.80  ,-3.77  ,-3.87
199404   ,2.21   ,2.91   ,2.44   ,2.81   ,3.14   ,1.51
199405  ,-0.23  ,-0.56  ,-1.38   ,0.05   ,0.34  ,-0.19
199406   ,0.93   ,0.90  ,-0.59  ,-0.15  ,-0.04   ,1.50
199407   ,0.20   ,0.92   ,1.57   ,2.29   ,2.12  ,-0.55
199408   ,2.41   ,1.90   ,2.12   ,1.87   ,2.54   ,3.15
199409  ,-1.36  ,-1.40  ,-0.14  ,-3.19  ,-2.58  ,-2.15
199410   ,0.12   ,0.81   ,1.54   ,2.20   ,2.75   ,2.98
199411  ,-5.61  ,-5.43  ,-5.01  ,-3.97  ,-4.78  ,-5.67
199412  ,-0.70   ,1.56   ,2.00   ,0.66   ,1.53   ,1.27
199501  ,-0.88  ,-1.62  ,-2.47  ,-1.92  ,-1.36  ,-2.76
199502   ,0.85   ,0.50   ,1.43   ,0.83   ,0.98   ,1.11
199503   ,2.11   ,3.25   ,3.79   ,6.43   ,4.78   ,3.78
199504   ,1.81   ,2.04   ,2.43   ,2.44   ,2.87   ,4.15
199505  ,-0.21  ,-0.14   ,0.20   ,0.15   ,0.57   ,0.48
199506   ,0.29   ,0.62   ,4.05   ,0.05  ,-0.68   ,1.90
199507   ,4.45   ,4.78   ,6.07   ,4.91   ,4.60   ,4.84
199508   ,0.60   ,0.02   ,0.62  ,-0.79  ,-1.86  ,-1.39
199509  ,-0.90   ,0.89   ,2.96   ,0.75   ,2.14   ,3.06
199510  ,-4.54  ,-2.25  ,-2.64  ,-3.75  ,-0.81  ,-0.75
199511   ,0.97   ,2.00   ,2.38   ,3.50   ,3.48   ,2.63
199512   ,3.37   ,3.29   ,3.14   ,3.19   ,3.13   ,1.69
199601   ,2.23   ,1.51   ,1.36   ,1.49   ,1.66   ,1.20
199602   ,2.10   ,1.92   ,3.26   ,0.92   ,0.50   ,1.36
199603   ,1.34   ,2.21   ,2.46   ,2.07   ,1.50   ,1.41
199604   ,5.40   ,4.89   ,7.38   ,4.44   ,2.18   ,2.63
199605   ,1.86   ,1.78   ,4.08  ,-0.39   ,0.45   ,0.83
199606  ,-2.02  ,-0.95  ,-2.84  ,-0.78   ,0.52  ,-0.08
199607  ,-4.12  ,-4.18  ,-7.80  ,-3.71  ,-3.37  ,-5.02
199608   ,1.69   ,1.65   ,3.97   ,0.48   ,1.35   ,1.64
199609  ,-0.02   ,1.26   ,2.08   ,2.94   ,3.47   ,5.03
199610  ,-1.42  ,-0.19   ,0.15  ,-2.48   ,0.90   ,1.12
199611   ,1.93   ,2.14   ,1.39   ,4.61   ,5.55   ,5.07
199612  ,-1.64  ,-0.61  ,-0.84  ,-1.82  ,-1.12  ,-1.27
199701  ,-0.35  ,-0.92   ,0.29  ,-1.97   ,0.63   ,2.46
199702  ,-0.37   ,0.90  ,-0.56   ,1.17   ,1.72  ,-1.04
199703  ,-4.62  ,-2.88  ,-2.77  ,-2.85  ,-1.39  ,-2.77
199704  ,-3.20  ,-1.14  ,-0.98  ,-0.49   ,2.18   ,5.62
199705  ,11.66   ,8.50   ,8.66   ,9.02   ,6.32   ,7.30
199706   ,2.06   ,3.96   ,3.77   ,4.93   ,4.08   ,4.89
199707  ,-2.19   ,0.09   ,3.81   ,0.99   ,3.43   ,7.67
199708  ,-1.66  ,-0.83   ,2.00  ,-3.18  ,-5.70  ,-6.76
199709   ,0.58   ,3.48   ,6.86   ,2.75   ,4.94   ,7.67
199710  ,-3.22  ,-2.70  ,-6.12  ,-5.59  ,-4.67  ,-6.10
199711  ,-8.17  ,-3.29  ,-2.37   ,0.23   ,2.63   ,0.13
199712  ,-6.72  ,-1.36   ,0.56  ,-1.19   ,1.83   ,1.95
199801   ,6.75   ,0.67  ,-0.11   ,1.65   ,1.77   ,3.06
199802   ,8.20   ,6.15   ,7.43   ,8.58   ,6.98   ,5.84
199803   ,0.71   ,4.04   ,6.01   ,3.58   ,4.91   ,4.24
199804   ,0.21   ,1.26   ,2.36   ,0.98   ,0.79   ,1.72
199805  ,-3.44  ,-1.67  ,-2.21  ,-2.53  ,-1.03  ,-0.49
199806  ,-4.06  ,-2.24  ,-0.23  ,-1.33   ,2.27   ,4.40
199807  ,-5.31  ,-3.75  ,-2.46  ,-2.77  ,-0.90   ,1.93
199808 ,-16.44 ,-12.19 ,-15.69 ,-13.57 ,-13.24 ,-14.09
199809   ,0.92   ,0.22   ,3.51   ,4.78   ,0.78   ,1.56
199810   ,7.94   ,5.16   ,5.26  ,11.74   ,9.35   ,6.56
199811   ,4.47   ,3.81   ,6.12   ,5.98   ,4.87   ,5.51
199812   ,0.48   ,3.16   ,5.66  ,-0.52   ,3.41   ,9.33
199901   ,0.11  ,-1.08   ,4.31   ,0.33  ,-0.71   ,5.83
199902  ,-4.03  ,-3.73  ,-2.43  ,-0.74  ,-2.21  ,-4.50
199903   ,4.42   ,1.24   ,3.71   ,8.22   ,2.89   ,3.57
199904  ,10.70   ,5.51   ,6.43  ,10.47   ,6.53   ,0.32
199905   ,1.24   ,0.34   ,0.26  ,-2.91  ,-3.42  ,-3.16
199906   ,4.66   ,5.88  ,11.16   ,1.92   ,3.77   ,6.79
199907   ,1.39   ,1.82   ,3.92   ,0.18  ,-0.75   ,0.32
199908  ,-1.31  ,-0.06   ,5.17  ,-1.05   ,0.10   ,0.97
199909  ,-0.69   ,0.52   ,3.33  ,-3.65  ,-0.77   ,1.67
199910  ,-2.74  ,-1.52   ,2.78   ,2.42   ,5.02   ,7.05
199911  ,-0.07   ,0.31   ,8.83  ,-1.64   ,0.72  ,11.77
199912   ,2.31   ,2.75   ,9.71   ,0.34   ,3.16  ,17.11
200001  ,-2.58  ,-1.19   ,1.74  ,-7.00  ,-5.24  ,-5.35
200002   ,0.50   ,2.33  ,17.43  ,-5.57  ,-2.90  ,13.21
200003   ,6.61   ,3.81  ,-5.02   ,9.72   ,9.61  ,-3.08
200004  ,-4.68  ,-3.94 ,-16.29   ,0.69  ,-4.49  ,-9.34
200005   ,1.37   ,1.14  ,-6.68   ,4.10  ,-0.31 ,-10.03
200006   ,5.18   ,4.55  ,12.48   ,0.55   ,1.45   ,7.08
200007  ,-2.41  ,-2.19  ,-6.31  ,-3.01  ,-1.16  ,-4.51
200008   ,2.38   ,4.02   ,9.70   ,3.58   ,2.45   ,8.31
200009  ,-4.49  ,-2.42  ,-4.66  ,-2.87  ,-1.07 ,-10.03
200010  ,-6.69  ,-4.35  ,-9.55   ,3.04  ,-1.38  ,-7.25
200011  ,-5.00  ,-2.15 ,-10.39  ,-5.04  ,-3.71 ,-14.98
200012   ,1.87   ,3.89   ,5.11  ,-0.62   ,2.28   ,3.41
200101  ,12.60   ,2.49   ,1.23  ,11.32  ,-0.47  ,-5.34
200102  ,-8.41  ,-0.98  ,-2.82 ,-15.58  ,-6.50  ,-3.76
200103 ,-10.37  ,-4.32  ,-4.86 ,-10.61  ,-6.35  ,-5.03
200104   ,9.84   ,7.10   ,7.99  ,12.97   ,5.76   ,4.70
200105   ,1.17   ,2.01   ,2.92  ,-4.56   ,0.77   ,0.64
200106  ,-3.21   ,1.08   ,1.82  ,-4.65  ,-2.29  ,-0.67
200107  ,-7.72  ,-1.78  ,-2.46  ,-3.46  ,-1.31  ,-0.68
200108  ,-5.29   ,0.87   ,0.56  ,-8.93  ,-2.38  ,-0.77
200109 ,-20.53 ,-10.45 ,-10.00 ,-14.71  ,-6.82  ,-6.58
200110  ,11.74   ,3.27   ,4.22   ,4.94   ,1.12   ,1.03
200111  ,12.29   ,2.91   ,2.28  ,10.75   ,4.01   ,1.73
200112   ,2.53   ,0.45   ,1.42  ,-1.26   ,1.86   ,1.93
200201  ,-4.03  ,-1.38   ,0.05  ,-4.70  ,-2.45  ,-2.09
200202  ,-4.03   ,1.63   ,1.58  ,-3.54   ,0.72   ,1.42
200203   ,7.75   ,5.80   ,6.02   ,5.80   ,4.29   ,3.49
200204  ,-0.89   ,3.27   ,3.02  ,-6.83  ,-1.68   ,1.23
200205  ,-0.76   ,2.57   ,2.56  ,-0.51   ,0.54   ,1.36
200206  ,-8.05  ,-1.94  ,-0.63  ,-8.00  ,-4.63  ,-2.37
200207 ,-12.68  ,-8.02  ,-8.51  ,-9.36  ,-8.09  ,-7.44
200208  ,-2.37   ,0.04   ,0.62  ,-0.38   ,1.03   ,0.63
200209 ,-13.17  ,-6.17  ,-4.99 ,-14.94  ,-9.32  ,-5.55
200210   ,2.82  ,-0.31   ,1.35  ,10.45   ,4.80   ,2.95
200211  ,13.50   ,3.26   ,2.48  ,10.31   ,2.75   ,0.05
200212  ,-7.25  ,-0.35   ,1.89  ,-9.16  ,-2.93   ,0.42
200301  ,-1.89  ,-1.16   ,0.59  ,-2.20  ,-3.56  ,-1.76
200302  ,-3.44  ,-0.98   ,0.42  ,-3.31  ,-1.36  ,-0.40
200303  ,-1.17   ,0.09   ,0.63  ,-1.28   ,0.22   ,0.27
200304  ,14.40   ,7.64   ,6.30  ,13.66   ,7.58   ,5.34
200305  ,15.33   ,8.18   ,7.50   ,9.52   ,4.93   ,5.84
200306   ,6.58   ,4.10   ,3.52   ,3.42   ,1.61   ,1.07
200307   ,6.56   ,3.34   ,4.04   ,3.42   ,1.52   ,1.00
200308   ,6.81   ,4.09   ,5.92   ,3.30   ,1.94   ,2.35
200309   ,4.19   ,4.07   ,4.49   ,1.15   ,0.85   ,1.01
200310   ,5.29   ,5.99   ,9.24   ,4.04   ,5.32   ,9.32
200311   ,1.40   ,2.17   ,1.72   ,1.91   ,1.62   ,1.66
200312   ,5.04   ,4.40   ,4.87   ,7.05   ,5.37   ,3.44
200401   ,3.79   ,4.38   ,7.52   ,1.55   ,1.83   ,3.53
200402   ,1.87   ,2.37   ,2.07   ,2.04   ,2.22   ,1.38
200403   ,3.56   ,3.53   ,2.77  ,-0.83  ,-0.51   ,0.95
200404  ,-2.44  ,-2.46  ,-4.29  ,-0.21  ,-2.89  ,-4.60
200405  ,-0.55  ,-0.23  ,-0.80   ,0.72   ,1.21   ,0.32
200406   ,3.07   ,4.77   ,5.21   ,1.77   ,2.09   ,3.89
200407  ,-4.96  ,-3.65  ,-5.63  ,-3.07  ,-2.94  ,-6.28
200408  ,-0.50   ,0.29   ,0.06   ,0.71   ,0.16   ,0.99
200409   ,2.75   ,3.30   ,3.91   ,0.75   ,2.22   ,4.18
200410   ,3.05   ,3.41   ,3.16   ,3.26   ,2.27   ,2.43
200411   ,7.31   ,7.39   ,8.18   ,4.16   ,5.40   ,6.61
200412   ,4.39   ,3.94   ,4.72   ,4.38   ,4.17   ,2.90
200501  ,-1.60   ,0.40   ,1.59  ,-2.97  ,-1.50  ,-1.22
200502   ,2.02   ,3.20   ,4.93   ,2.26   ,3.41   ,3.98
200503  ,-3.08  ,-1.31  ,-1.33  ,-2.04  ,-1.74  ,-1.48
200504  ,-4.61  ,-2.86  ,-2.77  ,-2.29  ,-1.76  ,-3.47
200505   ,0.93   ,0.48   ,1.13   ,1.89   ,1.33   ,2.51
200506   ,2.61   ,3.19   ,4.01   ,0.21   ,0.84   ,4.02
200507   ,4.53   ,4.18   ,5.40   ,3.65   ,3.30   ,4.53
200508   ,0.67   ,1.86   ,3.46   ,0.37   ,0.83   ,3.94
200509   ,0.73   ,2.03   ,3.42   ,0.94   ,2.73   ,4.87
200510  ,-2.83  ,-1.71  ,-2.52  ,-1.28  ,-2.62  ,-3.80
200511   ,2.51   ,3.21   ,3.90   ,2.95   ,3.37   ,3.39
200512   ,3.05   ,4.67   ,6.72   ,2.06   ,2.67   ,3.66
200601   ,6.69   ,6.77   ,9.09   ,2.52   ,4.41   ,7.71
200602  ,-0.27  ,-0.07  ,-1.14   ,0.88   ,0.33  ,-2.20
200603   ,3.23   ,4.13   ,5.80   ,2.26   ,2.25   ,4.00
200604   ,2.51   ,3.08   ,4.70   ,2.81   ,3.27   ,3.60
200605  ,-4.77  ,-4.97  ,-6.61  ,-1.69  ,-4.10  ,-5.88
200606  ,-2.08  ,-1.12  ,-2.48  ,-0.20   ,0.10  ,-0.06
200607  ,-3.22  ,-1.39  ,-2.36   ,0.20   ,1.34  ,-1.24
200608   ,3.11   ,2.47   ,2.75   ,2.98   ,3.24   ,0.84
200609  ,-0.29   ,0.10  ,-0.33   ,1.58   ,1.07   ,0.90
200610   ,3.64   ,3.75   ,5.12   ,4.20   ,3.28   ,3.89
200611   ,2.57   ,2.84   ,3.72   ,3.08   ,2.25   ,2.91
200612   ,1.18   ,2.22   ,2.45   ,1.52   ,2.39   ,3.00
200701   ,2.01   ,1.91   ,2.88   ,0.85   ,1.46   ,1.37
200702   ,1.07   ,1.49   ,1.34  ,-0.13  ,-0.30  ,-0.48
200703   ,1.02   ,2.28   ,3.68   ,1.90   ,1.95   ,2.84
200704   ,2.00   ,2.53   ,6.03   ,4.81   ,4.39   ,3.38
200705   ,1.73   ,2.14   ,3.27   ,3.16   ,2.72   ,3.23
200706   ,0.17   ,0.52   ,1.10   ,0.29  ,-1.01  ,-0.30
200707  ,-2.90  ,-1.32  ,-0.12  ,-2.55  ,-2.68  ,-0.19
200708  ,-3.25  ,-3.30  ,-4.91  ,-0.56  ,-0.03  ,-0.65
200709   ,0.57   ,2.26   ,5.91   ,2.75   ,5.35   ,7.31
200710   ,2.19   ,3.53   ,6.32   ,1.57   ,3.83   ,5.08
200711  ,-7.54  ,-6.16  ,-8.61  ,-4.91  ,-2.87  ,-4.76
200712  ,-2.86  ,-1.35  ,-1.25  ,-3.97  ,-0.34  ,-0.24
200801  ,-6.61  ,-7.80 ,-11.03  ,-4.61  ,-7.56  ,-9.94
200802   ,0.33   ,1.77   ,3.94  ,-4.02  ,-0.22   ,2.66
200803  ,-2.81  ,-0.55  ,-2.10  ,-1.95  ,-0.33  ,-1.48
200804   ,3.08   ,2.22   ,2.93   ,7.06   ,3.99   ,6.34
200805   ,2.90   ,2.62   ,3.84  ,-1.14   ,2.02   ,3.44
200806 ,-11.56  ,-6.57  ,-3.73 ,-14.23  ,-8.45  ,-3.63
200807  ,-2.22  ,-1.46  ,-4.05   ,0.62  ,-1.29  ,-6.40
200808  ,-1.41  ,-2.15  ,-4.57  ,-0.09  ,-1.67  ,-3.67
200809 ,-14.77 ,-11.53 ,-13.58 ,-13.34  ,-9.68 ,-14.34
200810 ,-27.38 ,-20.11 ,-20.80 ,-24.45 ,-18.42 ,-15.99
200811 ,-10.90  ,-7.52  ,-5.16  ,-9.23  ,-4.80  ,-6.55
200812   ,8.33   ,6.72   ,6.59   ,5.81   ,4.36   ,2.84
200901  ,-6.24  ,-6.58  ,-7.82 ,-10.29  ,-8.70  ,-8.22
200902 ,-11.04  ,-9.81  ,-9.25 ,-12.05  ,-9.67  ,-9.46
200903  ,12.46   ,5.67   ,3.54  ,13.23   ,7.66   ,3.92
200904  ,29.99  ,12.59   ,4.88  ,26.10  ,10.50   ,2.71
200905  ,19.82  ,11.04   ,7.88  ,14.83   ,9.11   ,6.43
200906   ,1.07   ,2.33   ,2.40  ,-2.57  ,-0.61   ,1.48
200907  ,10.11   ,6.95   ,7.15  ,10.53   ,8.36   ,7.67
200908   ,8.72   ,4.66   ,2.65   ,7.20   ,3.52   ,1.06
200909   ,8.34   ,4.72   ,4.55   ,4.93   ,4.01   ,4.26
200910  ,-3.32  ,-2.31  ,-2.56  ,-4.03  ,-1.16  ,-1.57
200911   ,0.31   ,0.51   ,1.78   ,3.92   ,3.93   ,3.97
200912   ,2.50   ,2.01   ,3.65   ,0.41   ,2.41   ,3.32
201001  ,-0.86  ,-0.67  ,-1.78  ,-2.38  ,-4.27  ,-5.95
